country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-09-12,-30.0,-10.0,76.0,-51.0,-21.0,4.0
United States,Massachusetts,Suffolk County,2020-09-13,-31.0,-16.0,63.0,-55.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-09-14,-33.0,-15.0,32.0,-62.0,-47.0,14.0
United States,Massachusetts,Suffolk County,2020-09-15,-32.0,-17.0,14.0,-63.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-09-16,-35.0,-17.0,23.0,-63.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-09-17,-35.0,-14.0,32.0,-61.0,-49.0,14.0
United States,Massachusetts,Suffolk County,2020-09-18,-36.0,-17.0,6.0,-60.0,-45.0,15.0
United States,Massachusetts,Suffolk County,2020-09-19,-30.0,-12.0,54.0,-51.0,-19.0,4.0
United States,Massachusetts,Suffolk County,2020-09-20,-30.0,-17.0,37.0,-55.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-09-21,-36.0,-18.0,14.0,-63.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-09-22,-36.0,-20.0,2.0,-64.0,-50.0,16.0
United States,Massachusetts,Suffolk County,2020-09-23,-36.0,-17.0,21.0,-62.0,-49.0,15.0
United States,Massachusetts,Suffolk County,2020-09-24,-36.0,-15.0,23.0,-62.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2020-09-25,-35.0,-17.0,17.0,-60.0,-44.0,14.0
United States,Massachusetts,Suffolk County,2020-09-26,-30.0,-12.0,73.0,-50.0,-18.0,3.0
United States,Massachusetts,Suffolk County,2020-09-27,-32.0,-18.0,43.0,-54.0,-19.0,4.0
United States,Massachusetts,Suffolk County,2020-09-28,-36.0,-18.0,14.0,-62.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2020-09-29,-35.0,-19.0,14.0,-63.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2020-09-30,-38.0,-16.0,1.0,-63.0,-49.0,16.0
United States,Massachusetts,Suffolk County,2020-10-01,-34.0,-10.0,24.0,-61.0,-46.0,14.0
United States,Massachusetts,Suffolk County,2020-10-02,-37.0,-14.0,-6.0,-59.0,-44.0,15.0
United States,Massachusetts,Suffolk County,2020-10-03,-31.0,-8.0,51.0,-50.0,-18.0,3.0
United States,Massachusetts,Suffolk County,2020-10-04,-31.0,-14.0,39.0,-54.0,-19.0,4.0
United States,Massachusetts,Suffolk County,2020-10-05,-37.0,-14.0,7.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-06,-35.0,-17.0,12.0,-62.0,-48.0,15.0
United States,Massachusetts,Suffolk County,2020-10-07,-40.0,-18.0,-8.0,-63.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2020-10-08,-36.0,-13.0,7.0,-60.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-09,-37.0,-15.0,0.0,-59.0,-44.0,14.0
United States,Massachusetts,Suffolk County,2020-10-10,-31.0,-10.0,66.0,-48.0,-19.0,4.0
United States,Massachusetts,Suffolk County,2020-10-11,-30.0,-18.0,34.0,-52.0,-21.0,4.0
United States,Massachusetts,Suffolk County,2020-10-12,-41.0,-20.0,-16.0,-68.0,-61.0,18.0
United States,Massachusetts,Suffolk County,2020-10-13,-48.0,-31.0,-48.0,-66.0,-51.0,19.0
United States,Massachusetts,Suffolk County,2020-10-14,-37.0,-11.0,15.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-15,-36.0,-12.0,22.0,-59.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-16,-43.0,-22.0,-33.0,-61.0,-45.0,17.0
United States,Massachusetts,Suffolk County,2020-10-17,-32.0,-10.0,19.0,-51.0,-21.0,6.0
United States,Massachusetts,Suffolk County,2020-10-18,-32.0,-18.0,26.0,-52.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-10-19,-38.0,-17.0,6.0,-61.0,-47.0,15.0
United States,Massachusetts,Suffolk County,2020-10-20,-38.0,-18.0,2.0,-62.0,-48.0,16.0
United States,Massachusetts,Suffolk County,2020-10-21,-40.0,-17.0,-4.0,-63.0,-48.0,17.0
United States,Massachusetts,Suffolk County,2020-10-22,-37.0,-13.0,14.0,-60.0,-47.0,16.0
United States,Massachusetts,Suffolk County,2020-10-23,-37.0,-15.0,1.0,-59.0,-44.0,16.0
United States,Massachusetts,Suffolk County,2020-10-24,-31.0,-11.0,44.0,-49.0,-21.0,5.0
United States,Massachusetts,Suffolk County,2020-10-25,-34.0,-18.0,2.0,-55.0,-23.0,6.0
